device1; user1; malware1
device2; user2; malware2
device3; user3; malware3
device4; user4; malware4
device5; user5; malware5
device6; user6; malware6
device7; user7; malware7
device8; user8; malware8
device9; user9; malware9
device10; user10; malware10
device11; user11; malware11
device12; user12; malware12
device13; user13; malware13
device14; user14; malware14
device15; user15; malware15
device16; user16; malware16
device17; user17; malware17
device18; user18; malware18
device19; user19; malware19
device20; user20; malware20
device21; user21; malware21
device22; user22; malware22
device23; user23; malware23
device24; user24; malware24
device25; user25; malware25
device26; user26; malware26
device27; user27; malware27
device28; user28; malware28
device29; user29; malware29
device30; user30; malware30
device31; user31; malware31
device32; user32; malware32
device33; user33; malware33
device34; user34; malware34
device35; user35; malware35
device36; user36; malware36
device37; user37; malware37
device38; user38; malware38
device39; user39; malware39
device40; user40; malware40
device41; user41; malware41
device42; user42; malware42
device43; user43; malware43
device44; user44; malware44
device45; user45; malware45
device46; user46; malware46
device47; user47; malware47
device48; user48; malware48
device49; user49; malware49
device50; user50; malware50
device51; user51; malware51
device52; user52; malware52
device53; user53; malware53
device54; user54; malware54
device55; user55; malware55
device56; user56; malware56
device57; user57; malware57
device58; user58; malware58
device59; user59; malware59
device60; user60; malware60
device61; user61; malware61
device62; user62; malware62
device63; user63; malware63
device64; user64; malware64
device65; user65; malware65
device66; user66; malware66
device67; user67; malware67
device68; user68; malware68
device69; user69; malware69
device70; user70; malware70
device71; user71; malware71
device72; user72; malware72
device73; user73; malware73
device74; user74; malware74
device75; user75; malware75
device76; user76; malware76
device77; user77; malware77
device78; user78; malware78
device79; user79; malware79
device80; user80; malware80
device81; user81; malware81
device82; user82; malware82
device83; user83; malware83
device84; user84; malware84
device85; user85; malware85
device86; user86; malware86
device87; user87; malware87
device88; user88; malware88
device89; user89; malware89
device90; user90; malware90
device91; user91; malware91
device92; user92; malware92
device93; user93; malware93
device94; user94; malware94
device95; user95; malware95
device96; user96; malware96
device97; user97; malware97
device98; user98; malware98

